Geo Location,Facility,Address,Neighborhood,RC,PA,SP,HC,TC,BC,BF,,,
East,"Al ""Turk"" Graham Parklet",1610 Foreside Place 15219,Crawford Roberts,,X,,,,,,,,
East,Ammon Playground,2217 Bedford Avenue 15219,Bedford Dwellings,X,X,X,,,X,X,,,
East,Arsenal Park,39th & 40th Streets @ Butler Street,Lower Lawrenceville,,X,,X,X,X,X,,,
East,Baxter Parklet,Baxter St @ 7600 block Frankstown Ave,Homewood North,,X,,,,,,,,
East,Blair Playground,5230 Blair Street,Hazelwood,,X,,,,X,X,,,
East,Bloomfield Playground,408 Ella Street 15224,Bloomfield,,X,X,X,,X,X,,,
East,Boundary Street Parklet,Boundary Street @ Jonclaire Street,Central Oakland,,X,,X,,,,,,
East,Bud Hammer Playground,Bigelow & Bristol Streets,Hazelwood,,X,,X,,X,X,,,
East,Burgwin Playground,328 Mansion Street 15207,Hazelwood,,X,,X,X,X,X,,,
East,Chadwick Playground,Oberlin & Mingo Streets,Lincoln-Lemington-Belmar,,X,,,,X,X,,,
East,Cliffside Parklet,Cassatt & Ridgeway Streets,Crawford Roberts,,X,,,,,,,,
East,Crescent School,Conemaugh Street @ Hamilton Avenue,East Hills,,X,,,,,,,,
East,Dallas Parklet,N Dallas @ 6800 block Frankstown Ave,Homewood West,,X,,,,X,,,,
East,Davis Parklet,Hobart Street @ Wightman,Squirrel Hill South,,X,,X,X,X,,,,
East,Dinan Playground,Hawthorne & Farmington Streets,Stanton Heights,,X,,X,X,,X,,,
East,Duncan Parklet,54th & Wickliff Streets,Upper Lawrenceville,,X,,X,,,,,,
East,Dunseith Tot Lot,Dunseith Street @ Terrace,West Oakland,,X,,,,,,,,
East,East Hills Park,2200 block Wilner Drive,East Hills,,,X*,,,X,X,,,
East,East Liberty Park,Larimer Avenue & Broad Street,East Liberty,,,,,,,X,,,
East,Elizabeth Street Tot Lot,Elizabeth Street & Roma Way,Hazelwood,,,,,,,,,,
East,Enright Parklet,Amber Street,East Liberty,,X,,,,X,,,,
East,Fifty-Seventh Street Playground,57th & Butler Streets,Upper Lawrenceville,,X,,,,X,X,,,
East,Flynn Parklet,Bunkerhill & N. Saint Clair Streets,Highland Park,,, ,X,X,X,,,,
East,Fort Pitt Playground,Hillcrest Street @ N. Atlantic Ave,Garfield,,X,,,X,X,,,,
East,Four Mile Run Playground,Naylor Street off Saline Street,Greenfield,,X,,X,,X,X,,,
East,Frank Curto Park,2100 block Bigelow Boulevard,Strip District,,,,,,,,,,
East,Frazier Playground,Frazier & Dawson Streets,Squirrel Hill South,,X,,,,X,X,,,
East,Frick Park,Forbes & Braddock Avenues,Squirrel Hill South,,X,,,X,X,X,,,
East,Friendship Park,Friendship Ave btwn Edmond/Gross Sts,Bloomfield,,,,,,,,,,
East,Garland Parklet,Penn Circle West,East Liberty,,X,,,X,X,,,,
East,Gladstone Field,480 Block Hazelwood Ave @ Winterburn,Hazelwood,,,,,,,X,,,
East,Granville Parklet,Granville & Enoch Streets,Crawford Roberts,,X,,,,X,,,,
East,Hazelwood Senior Citizens,5344 Second Avenue 15207,Hazelwood,X,,,,,,,,,
East,Herron Hill Tennis Courts,3000 block Camp Street,Upper Hill,,,,,X,,,,,
East,Heth's Playground,Heth's Avenue & Hampton Street,Morningside,,X,,X,X,,X,,,
East,Highland Park,"151 Lake Drive, 15206",Highland Park,,X,X,,X,,X,,,
East,Homewood North Parklet,Brushton Avenue & Upland Street,Homewood North,,,,,,,,,,
East,Homewood Playground,Hamilton Avenue & Lang Street,Homewood South,,,X,,,,X,,,
East,Homewood Senior Citizens,7321 Frankstown Avenue 15208,Homewood South,X,,,,,,,,,
East,Joe Natoli Field,President Way & Antietam Street,Morningside,X,X,,,,X,X,,,
East,Kennard Playground,2200 block Reed St @ Kirkpatrick St,Terrace Village,,X,,,X,X,X,,,
East,Kite Hill Parklet,Kincaid @ N. Atlantic Streets,Garfield,,,,,,,,,,
East,Kings Estate,Elgin Street & Negley Avenue,Highland Park,,,,,,,,,,
East,Larimer Playground,500 block Larimer Ave @ Shetland St.,Larimer,,X,,,,X,X,,,
East,Lawn & Ophelia Parklet,Lawn & Ophelia Streets,South Oakland,,X,,,,,,,,
East,Leslie Park,46th & Butler Streets,Central Lawrenceville,,X,,,,X,X,,,
East,Lewis Parklet,Irvine & Berwick Streets,Hazelwood,,X,,X,,X,,,,
